tag,method,topology,scheme,nodes,cycles,gossip_k,lambda_reg,seed,node,n_local,test_acc,hinge_loss,duality_gap,consensus_err,comm_bytes
covtype,fedavg_svm,full,label_skew,10,100,1,0.01,42,5,3892,0.4841,0.0,nan,2.2033945778117676,21600
covtype,fedavg_svm,full,label_skew,10,100,1,0.01,42,6,4108,0.5159,0.0,nan,2.2033945778117676,21600
covtype,fedavg_svm,full,label_skew,10,100,1,0.01,42,7,3891,0.4841,0.0,nan,2.2033945778117676,21600
covtype,fedavg_svm,full,label_skew,10,100,1,0.01,42,8,4108,0.5159,0.0,nan,2.2033945778117676,21600
covtype,fedavg_svm,full,label_skew,10,100,1,0.01,42,9,3891,0.4841,0.0,nan,2.2033945778117676,21600
covtype,cocoa,ring,iid,10,100,1,0.01,42,0,4000,0.6297,0.8289211356518456,0.2862072908756781,0.18207191498976347,21600
covtype,cocoa,ring,iid,10,100,1,0.01,42,1,4000,0.6323,0.8483350904427807,0.30114807300433155,0.18207191498976347,21600
covtype,cocoa,ring,iid,10,100,1,0.01,42,2,4000,0.5897,0.806724913157904,0.25979525242874935,0.18207191498976347,21600
covtype,cocoa,ring,iid,10,100,1,0.01,42,3,4000,0.6304,0.8279558291145436,0.29041177104000426,0.18207191498976347,21600
covtype,cocoa,ring,iid,10,100,1,0.01,42,4,4000,0.6129,0.8030938440252224,0.26657969489910394,0.18207191498976347,21600
covtype,cocoa,ring,iid,10,100,1,0.01,42,5,4000,0.6139,0.7970191458754238,0.2518128973489532,0.18207191498976347,21600
covtype,cocoa,ring,iid,10,100,1,0.01,42,6,4000,0.6326,0.8278762926141103,0.2836969414026944,0.18207191498976347,21600
covtype,cocoa,ring,iid,10,100,1,0.01,42,7,4000,0.6296,0.8450396070506714,0.29289910096044813,0.18207191498976347,21600
covtype,cocoa,ring,iid,10,100,1,0.01,42,8,4000,0.6291,0.8326386920088367,0.2902737998713599,0.18207191498976347,21600
covtype,cocoa,ring,iid,10,100,1,0.01,42,9,4000,0.6245,0.7828730935974231,0.24232709919440276,0.18207191498976347,21600
covtype,cocoa,ring,dirichlet_1.0,10,100,1,0.01,42,0,4326,0.4841,0.3966087603333977,0.14158702465054324,0.577985174783843,21600
