tag,method,topology,scheme,nodes,cycles,gossip_k,lambda_reg,seed,node,n_local,test_acc,hinge_loss,duality_gap,consensus_err,comm_bytes,components
covtype,cocoa,full,dirichlet_0.1,10,100,1,0.01,42,3,110,0.5159,0.2045078316241342,-0.7430475985586676,0.4920284922942927,21600,1
covtype,cocoa,full,dirichlet_0.1,10,100,1,0.01,42,4,4214,0.4841,0.04523368966883935,-0.014644089961345086,0.4920284922942927,21600,1
covtype,cocoa,full,dirichlet_0.1,10,100,1,0.01,42,5,1,0.5159,0.959859977597997,-0.04007299526897823,0.4920284922942927,21600,1
covtype,cocoa,full,dirichlet_0.1,10,100,1,0.01,42,6,302,0.5159,0.03959491878403561,-0.5249739387702369,0.4920284922942927,21600,1
covtype,cocoa,full,dirichlet_0.1,10,100,1,0.01,42,7,16592,0.5159,0.0009187005747077895,-0.004572075953127518,0.4920284922942927,21600,1
covtype,cocoa,full,dirichlet_0.1,10,100,1,0.01,42,8,1060,0.5159,0.7357168187883022,0.1989074709865517,0.4920284922942927,21600,1
covtype,cocoa,full,dirichlet_0.1,10,100,1,0.01,42,9,4279,0.5159,0.7587438673981389,0.5705617141265772,0.4920284922942927,21600,1
covtype,cocoa,full,dirichlet_0.3,10,100,1,0.01,42,0,746,0.5159,0.008479906517681495,-0.1888136227392659,0.5377131117007359,21600,1
covtype,cocoa,full,dirichlet_0.3,10,100,1,0.01,42,1,3023,0.4841,0.25451427249794734,0.14887124410832864,0.5377131117007359,21600,1
covtype,cocoa,full,dirichlet_0.3,10,100,1,0.01,42,2,6249,0.4841,0.004659088290668054,-0.02135904180913239,0.5377131117007359,21600,1
covtype,cocoa,full,dirichlet_0.3,10,100,1,0.01,42,3,1084,0.5159,0.6687152624766856,0.13994914504148848,0.5377131117007359,21600,1
covtype,cocoa,full,dirichlet_0.3,10,100,1,0.01,42,4,4177,0.4841,0.330142620688075,0.23474027794817431,0.5377131117007359,21600,1
covtype,cocoa,full,dirichlet_0.3,10,100,1,0.01,42,5,301,0.6298,0.9715256940676106,0.028611437491524394,0.5377131117007359,21600,1
covtype,cocoa,full,dirichlet_0.3,10,100,1,0.01,42,6,10200,0.5159,0.004077269834952518,-0.007899260310645697,0.5377131117007359,21600,1
covtype,cocoa,full,dirichlet_0.3,10,100,1,0.01,42,7,4364,0.5159,0.0963143765248483,0.04158320718808882,0.5377131117007359,21600,1
covtype,cocoa,full,dirichlet_0.3,10,100,1,0.01,42,8,3745,0.4841,0.7068179370271696,0.5052980796965653,0.5377131117007359,21600,1
covtype,cocoa,full,dirichlet_0.3,10,100,1,0.01,42,9,6111,0.4841,0.6903610436507284,0.5708018507415876,0.5377131117007359,21600,1
covtype,cocoa,full,dirichlet_1.0,10,100,1,0.01,42,0,4326,0.4841,0.4050325886673153,0.3016180993569748,0.5495161866799606,21600,1
covtype,cocoa,full,dirichlet_1.0,10,100,1,0.01,42,1,2902,0.5159,0.28647462768875437,0.14612825940247412,0.5495161866799606,21600,1
covtype,cocoa,full,dirichlet_1.0,10,100,1,0.01,42,2,4488,0.5159,0.6414079936778353,0.48452730713734266,0.5495161866799606,21600,1
covtype,cocoa,full,dirichlet_1.0,10,100,1,0.01,42,3,793,0.4841,0.3933100533496802,-0.07777373249135577,0.5495161866799606,21600,1
